TOUCH   waitFrame = 246
83,179,0,0,CENTER,0,TOUCH,60
95,169,12,-10,SOUTHEAST,-39.80557,SWIPE,60
123,163,28,-6,EAST,-12.09476,SWIPE,60
145,161,22,-2,EAST,-5.194429,SWIPE,60
177,161,32,0,EAST,0,SWIPE,60
189,163,12,2,EAST,9.462322,SWIPE,60
209,169,20,6,EAST,16.69924,SWIPE,60
225,177,16,8,NORTHEAST,26.56505,SWIPE,60
235,197,10,20,NORTHEAST,63.43495,SWIPE,60
235,223,0,26,NORTH,90,SWIPE,60
233,245,-2,22,NORTH,95.19443,SWIPE,60
221,269,-12,24,NORTHWEST,116.565,SWIPE,60
207,287,-14,18,NORTHWEST,127.875,SWIPE,60
179,309,-28,22,NORTHWEST,141.8428,SWIPE,60
169,313,-10,4,WEST,158.1986,SWIPE,60
151,315,-18,2,WEST,173.6598,SWIPE,60
139,311,-12,-4,WEST,-161.565,SWIPE,60
129,297,-10,-14,SOUTHWEST,-125.5377,SWIPE,60
125,267,-4,-30,SOUTH,-97.59464,SWIPE,60
125,245,0,-22,SOUTH,-90,SWIPE,60
131,223,6,-22,SOUTH,-74.74489,SWIPE,60
145,207,14,-16,SOUTHEAST,-48.81408,SWIPE,60
195,191,50,-16,EAST,-17.74467,SWIPE,60
207,191,12,0,EAST,0,SWIPE,60
225,189,18,-2,EAST,-6.340192,SWIPE,60
231,189,6,0,EAST,0,SWIPE,60
231,187,0,-2,SOUTH,-90,SWIPE,60
221,183,-10,-4,WEST,-158.1986,SWIPE,60
189,183,-32,0,WEST,180,SWIPE,60
143,189,-46,6,WEST,172.5686,SWIPE,60
95,199,-48,10,WEST,168.2317,SWIPE,60
47,231,-48,32,NORTHWEST,146.3099,SWIPE,60
43,247,-4,16,NORTH,104.0362,SWIPE,60
49,277,6,30,NORTH,78.69007,SWIPE,60
191,323,142,46,EAST,17.9494,SWIPE,60
191,323,0,0,EAST,17.9494,SWIPE,60
215,321,24,-2,EAST,-4.763642,SWIPE,60
217,325,2,4,NORTHEAST,63.43495,SWIPE,60
215,329,-2,4,NORTHWEST,116.565,SWIPE,60
199,341,-16,12,NORTHWEST,143.1301,SWIPE,60
131,355,-68,14,WEST,168.3664,SWIPE,56
107,357,-24,2,WEST,175.2364,SWIPE,56
