TOUCH   waitFrame = 159
132,299,0,0,CENTER,0,TOUCH,50
132,297,0,-2,SOUTH,270,SWIPE,50
128,289,-4,-8,SOUTHWEST,243.435,SWIPE,50
120,261,-8,-28,SOUTH,254.0546,SWIPE,50
114,235,-6,-26,SOUTH,257.0054,SWIPE,50
104,185,-10,-50,SOUTH,258.6901,SWIPE,50
102,157,-2,-28,SOUTH,265.9144,SWIPE,50
98,135,-4,-22,SOUTH,259.6952,SWIPE,50
98,129,0,-6,SOUTH,270,SWIPE,50
98,127,0,-2,SOUTH,270,SWIPE,50
98,127,0,0,SOUTH,270,SWIPE,50
98,127,0,0,SOUTH,270,SWIPE,50
98,127,0,0,SOUTH,270,SWIPE,50
SEPARATE   holdFrame = 13
