TOUCH   waitFrame = 16
59,167,0,0,CENTER,0,TOUCH,-1
83,199,24,32,NORTHEAST,53.1301,SWIPE,-1
99,233,16,34,NORTHEAST,64.79888,SWIPE,-1
103,243,4,10,NORTH,68.19859,SWIPE,-1
107,265,4,22,NORTH,79.69515,SWIPE,-1
107,291,0,26,NORTH,90,SWIPE,-1
105,303,-2,12,NORTH,99.46233,SWIPE,-1
97,311,-8,8,NORTH,99.46233,SWIPE,-1
93,311,-4,0,WEST,180,SWIPE,-1
79,301,-14,-10,SOUTHWEST,-144.4623,SWIPE,-1
71,287,-8,-14,SOUTHWEST,-119.7449,SWIPE,-1
65,249,-6,-38,SOUTH,-98.97263,SWIPE,-1
69,241,4,-8,SOUTHEAST,-63.43495,SWIPE,-1
81,227,12,-14,SOUTHEAST,-49.3987,SWIPE,-1
103,217,22,-10,SOUTHEAST,-24.44395,SWIPE,-1
133,217,30,0,EAST,0,SWIPE,-1
151,225,18,8,NORTHEAST,23.96249,SWIPE,-1
181,239,30,14,NORTHEAST,25.01689,SWIPE,-1
219,261,38,22,NORTHEAST,30.06858,SWIPE,-1
241,297,22,36,NORTHEAST,58.57044,SWIPE,-1
241,303,0,6,NORTH,90,SWIPE,-1
235,319,-6,16,NORTH,110.556,SWIPE,-1
193,329,-42,10,WEST,166.6075,SWIPE,-1
179,329,-14,0,WEST,180,SWIPE,-1
137,313,-42,-16,WEST,-159.1455,SWIPE,41
111,287,-26,-26,SOUTHWEST,-135,SWIPE,41
113,247,2,-40,SOUTH,-87.1376,SWIPE,41
131,225,18,-22,SOUTHEAST,-50.71059,SWIPE,41
141,219,10,-6,SOUTHEAST,-30.96376,SWIPE,41
175,209,34,-10,EAST,-16.38954,SWIPE,41
209,207,34,-2,EAST,-3.366461,SWIPE,41
245,217,36,10,EAST,15.52411,SWIPE,41
267,241,22,24,NORTHEAST,47.48956,SWIPE,41
273,275,6,34,NORTH,79.99202,SWIPE,41
247,317,-26,42,NORTHWEST,121.7595,SWIPE,41
235,325,-12,8,NORTHWEST,146.3099,SWIPE,41
205,335,-30,10,WEST,161.565,SWIPE,41
145,339,-60,4,WEST,176.1859,SWIPE,41
111,333,-34,-6,WEST,-169.992,SWIPE,41
87,305,-24,-28,SOUTHWEST,-130.6013,SWIPE,41
87,285,0,-20,SOUTH,-90,SWIPE,41
237,239,150,-46,EAST,-17.04903,SWIPE,41
259,253,22,14,NORTHEAST,32.47119,SWIPE,41
265,271,6,18,NORTH,71.56505,SWIPE,41
261,291,-4,20,NORTH,101.3099,SWIPE,41
239,315,-22,24,NORTHWEST,132.5105,SWIPE,41
195,341,-44,26,NORTHWEST,149.4208,SWIPE,41
161,351,-34,10,WEST,163.6105,SWIPE,41
113,351,-48,0,WEST,180,SWIPE,41
87,339,-26,-12,SOUTHWEST,-155.2249,SWIPE,41
63,307,-24,-32,SOUTHWEST,-126.8699,SWIPE,41
77,259,14,-48,SOUTH,-73.73979,SWIPE,41
87,249,10,-10,SOUTH,-73.73979,SWIPE,41
113,231,26,-18,SOUTHEAST,-34.69516,SWIPE,41
171,223,58,-8,EAST,-7.853313,SWIPE,41
203,231,32,8,EAST,14.03624,SWIPE,41
235,257,32,26,NORTHEAST,39.09386,SWIPE,41
239,275,4,18,NORTH,77.4712,SWIPE,41
227,309,-12,34,NORTH,109.44,SWIPE,41
177,335,-50,26,NORTHWEST,152.5256,SWIPE,41
161,337,-16,2,WEST,172.875,SWIPE,41
125,335,-36,-2,WEST,-176.8202,SWIPE,41
75,313,-50,-22,SOUTHWEST,-156.2505,SWIPE,41
51,289,-24,-24,SOUTHWEST,-135,SWIPE,41
49,261,-2,-28,SOUTH,-94.08562,SWIPE,41
65,245,16,-16,SOUTH,-94.08562,SWIPE,41
165,237,100,-8,EAST,-4.573921,SWIPE,41
203,249,38,12,EAST,17.52557,SWIPE,41
231,265,28,16,NORTHEAST,29.74488,SWIPE,41
249,281,18,16,NORTHEAST,41.63354,SWIPE,41
251,295,2,14,NORTH,81.8699,SWIPE,41
249,305,-2,10,NORTH,101.3099,SWIPE,47
247,305,-2,0,WEST,180,SWIPE,47
235,301,-12,-4,WEST,-161.565,SWIPE,47
219,287,-16,-14,SOUTHWEST,-138.8141,SWIPE,47
199,255,-20,-32,SOUTHWEST,-122.0054,SWIPE,47
165,207,-34,-48,SOUTHWEST,-125.3112,SWIPE,47
161,199,-4,-8,SOUTHWEST,-116.565,SWIPE,47
151,195,-10,-4,WEST,-158.1986,SWIPE,47
107,223,-44,28,NORTHWEST,147.5288,SWIPE,47
99,231,-8,8,NORTHWEST,147.5288,SWIPE,47
87,249,-12,18,NORTHWEST,123.6901,SWIPE,47
81,269,-6,20,NORTH,106.6992,SWIPE,47
93,299,12,30,NORTH,68.19859,SWIPE,47
143,333,50,34,NORTHEAST,34.2157,SWIPE,47
157,339,14,6,NORTHEAST,23.19859,SWIPE,47
189,355,32,16,NORTHEAST,26.56505,SWIPE,47
207,361,18,6,EAST,18.43495,SWIPE,47
229,377,22,16,NORTHEAST,36.02737,SWIPE,47
233,389,4,12,NORTH,71.56505,SWIPE,47
235,413,2,24,NORTH,85.23636,SWIPE,47
227,427,-8,14,NORTHWEST,119.7449,SWIPE,47
197,447,-30,20,NORTHWEST,146.3099,SWIPE,47
189,449,-8,2,WEST,165.9638,SWIPE,47
