TOUCH   waitFrame = 112
115,227,0,0,CENTER,0,TOUCH,50
115,225,0,-2,SOUTH,-90,SWIPE,50
111,217,-4,-8,SOUTHWEST,-116.565,SWIPE,50
109,211,-2,-6,SOUTH,-108.435,SWIPE,50
107,199,-2,-12,SOUTH,-99.46233,SWIPE,50
107,183,0,-16,SOUTH,-90,SWIPE,50
111,169,4,-14,SOUTH,-74.0546,SWIPE,50
123,147,12,-22,SOUTHEAST,-61.38954,SWIPE,50
135,135,12,-12,SOUTHEAST,-61.38954,SWIPE,50
151,129,16,-6,EAST,-20.55605,SWIPE,50
165,129,14,0,EAST,0,SWIPE,50
197,129,32,0,EAST,0,SWIPE,50
209,129,12,0,EAST,0,SWIPE,50
223,127,14,-2,EAST,-8.130102,SWIPE,50
227,125,4,-2,SOUTHEAST,-26.56505,SWIPE,50
227,123,0,-2,SOUTH,-90,SWIPE,50
227,117,0,-6,SOUTH,-90,SWIPE,50
225,103,-2,-14,SOUTH,-98.1301,SWIPE,50
219,93,-6,-10,SOUTHWEST,-120.9638,SWIPE,50
201,89,-18,-4,WEST,-167.4712,SWIPE,50
195,91,-6,2,WEST,161.565,SWIPE,50
171,109,-24,18,NORTHWEST,143.1301,SWIPE,50
157,129,-14,20,NORTHWEST,124.992,SWIPE,50
143,149,-14,20,NORTHWEST,124.992,SWIPE,50
135,175,-8,26,NORTH,107.1027,SWIPE,50
135,189,0,14,NORTH,90,SWIPE,50
145,207,10,18,NORTHEAST,60.9454,SWIPE,50
179,217,34,10,EAST,16.38954,SWIPE,50
189,217,10,0,EAST,0,SWIPE,50
209,221,20,4,EAST,11.30993,SWIPE,50
233,233,24,12,NORTHEAST,26.56505,SWIPE,50
243,243,10,10,NORTHEAST,45,SWIPE,51
249,267,6,24,NORTH,75.96376,SWIPE,51
249,285,0,18,NORTH,90,SWIPE,51
207,347,-42,62,NORTHWEST,124.1145,SWIPE,51
187,353,-20,6,WEST,163.3008,SWIPE,51
179,353,-8,0,WEST,180,SWIPE,51
163,353,-16,0,WEST,180,SWIPE,51
147,339,-16,-14,SOUTHWEST,-138.8141,SWIPE,51
141,325,-6,-14,SOUTHWEST,-113.1986,SWIPE,51
147,293,6,-32,SOUTH,-79.38034,SWIPE,51
173,251,26,-42,SOUTHEAST,-58.24052,SWIPE,51
195,221,22,-30,SOUTHEAST,-53.74616,SWIPE,51
215,193,20,-28,SOUTHEAST,-54.46232,SWIPE,51
223,165,8,-28,SOUTH,-74.0546,SWIPE,51
223,161,0,-4,SOUTH,-90,SWIPE,51
207,155,-16,-6,WEST,-159.444,SWIPE,51
